Temporada,Fecha,Ronda,Día,Sedes,Resultado,Goles a favor,Goles en contra,Adversario,xG,xGA,Posesión,Asistencia,Capitán,Formación,Árbitro,Informe,Notas
2024-02-13,21:00,Champions Lg,Ronda de 16,Mar,Visitante,V,1,0,de RB Leipzig,1.4,1.4,50,"45,028",Nacho,4-3-1-2,Irfan Peljto,Informe del partido
2024-02-18,14:00,La Liga,Semana 25 de partido,Dom,Visitante,E,1,1,Rayo Vallecano,1.1,1.1,59,"14,354",Nacho,4-2-3-1,Alejandro Muñíz,Informe del partido
2024-02-25,21:00,La Liga,Semana 26 de partido,Dom,Local,V,1,0,Sevilla,1.0,0.8,65,"74,969",Nacho,4-3-3,Isidro Díaz de Mera,Informe del partido
2024-03-02,21:00,La Liga,Semana 27 de partido,Sáb,Visitante,E,2,2,Valencia,2.2,1.1,70,"47,427",Dani Carvajal,4-3-1-2,Jesús Gil,Informe del partido
2024-03-06,21:00,Champions Lg,Ronda de 16,Mié,Local,E,1,1,de RB Leipzig,0.8,1.0,53,"76,126",Nacho,4-3-3,Davide Massa,Informe del partido
2024-03-10,18:30,La Liga,Semana 28 de partido,Dom,Local,V,4,0,Celta Vigo,3.4,0.8,62,"73,644",Nacho,4-3-1-2,Mario Melero,Informe del partido
2024-03-16,16:15,La Liga,Semana 29 de partido,Sáb,Visitante,V,4,2,Osasuna,2.9,0.7,64,"22,430",Dani Carvajal,4-3-3,Juan Martínez,Informe del partido
2024-03-31,21:00,La Liga,Semana 30 de partido,Dom,Local,V,2,0,Athletic Club,1.1,0.3,58,"72,991",Nacho,4-2-2-2,Alberola Rojas,Informe del partido
2024-04-09,21:00,Champions Lg,Cuartos de final,Mar,Local,E,3,3,eng Manchester City,0.7,0.8,39,"76,680",Dani Carvajal,4-2-3-1,François Letexier,Informe del partido
2024-04-13,18:30,La Liga,Semana 31 de partido,Sáb,Visitante,V,1,0,Mallorca,1.5,0.6,56,"23,244",Nacho,4-2-3-1,José Sánchez,Informe del partido
2024-04-17,20:00 (21:00),Champions Lg,Cuartos de final,Mié,Visitante,E,1 (4),1 (3),eng Manchester City,1.4,2.7,33,,Nacho,4-2-3-1,Daniele Orsato,Informe del partido
2024-04-21,21:00,La Liga,Semana 32 de partido,Dom,Local,V,3,2,Barcelona,2.4,1.3,47,"77,981",Luka Modrić,4-1-2-1-2◆,César Soto,Informe del partido
2024-04-26,21:00,La Liga,Semana 33 de partido,Vie,Visitante,,,,Real Sociedad,,,,,,,,Cara a cara
2024-04-30,21:00,Champions Lg,Semifinales,Mar,Visitante,,,,de Bayern Munich,,,,,,,,Cara a cara
2024-05-04,16:15,La Liga,Semana 34 de partido,Sáb,Local,,,,Cádiz,,,,,,,,Cara a cara
2024-05-08,21:00,Champions Lg,Semifinales,Mié,Local,,,,de Bayern Munich,,,,,,,,Cara a cara
2024-05-12,,La Liga,Semana 35 de partido,Dom,Visitante,,,,Granada,,,,,,,,Cara a cara
2024-05-15,,La Liga,Semana 36 de partido,Mié,Local,,,,Alavés,,,,,,,,Cara a cara
2024-05-19,,La Liga,Semana 37 de partido,Dom,Visitante,,,,Villarreal,,,,,,,,Cara a cara
2024-05-26,,La Liga,Semana 38 de partido,Dom,Local,,,,Betis,,,,,,,,Cara a cara
